अ	ɐ
त्याग	tjɑː.ɡɐ́
त्रिंशत्	tɾĩ.ɕɐ́t
त्वच्	tʋɐ́t͡ɕ
त्वेषथ	tʋɐj.ʂɐ́.tʰɐ
दक्षिण	dɐ́k.ʂi.ɳɐ
दत्तांश	dɐt.tɑ̃ː.ɕɐ
दर्त्नु	dɐɾt.nú
दविष्ठम्	dɐ.ʋiʂ.ʈʰɐ́m
दामन्	dɑː.mɐ́n
दाल	dɑː.lɐ
दिन	dí.nɐ
दीपावलि	diː.pɑː.ʋɐ.li
दुग्ध	duɡ.dʱɐ́
दुर्दान्त	d̪uɾˈd̪ɑːn̪.t̪ɐ
दुह्	dúɦ
दूळभ	duː.ɭ̆ɐ́.bʱɐ
देग्धि	dɐ́jɡ.dʱi
देवी	dɐj.ʋíː
दोषा	dɐw.ʂɑ́ː
द्राघ्मन्	dɾɑːɡʱ.mɐ́n
द्रोण	dɾɐ́w.ɳɐ
द्वितीया	dʋi.tíː.jɑː
धनंजय	dʱɐ.nɐɲ.d͡ʑɐ.jɐ́
धरति	dʱɐ́.ɾɐ.ti
धातु	dʱɑ́ː.tu
धाराखान	dʱɑː.ɾɑː.kʰɑː.nɐ
धीवर	dʱiː.ʋɐ.ɾɐ
धृत	dʱr̩.tɐ́
ध्वज	dʱʋɐ.d͡ʑɐ́
नक्षत्र	nɐ́k.ʂɐt.ɾɐ
नर्य	nɐ́ɾ.jɐ
नश्	nɐɕ
नायकाधिप	nɑː.jɐ́.kɑː.dʱi.pɐ
नासिका	nɑ́ː.si.kɑː
निद्	níd
निष्क	niʂ.kɐ
नीड	niː.ɖɐ́
नृप	nŕ̩.pɐ
नेदीयस्	nɐ́j.diː.jɐs
न्यायालय	n̪jɑːˈjɑː.l̪ɐ.jɐ
पचति	pɐ́.t͡ɕɐ.ti
पठति	pɐ́.ʈʰɐ.ti
पत्रिका	pɐt.tɾi.kɑː
परस्मैपद	pɐ.ɾɐs.mɑːj.pɐ.dɐ
परिवर्तित	pɐ.ɾi.ʋɐɾ.ti.tɐ
परीमन्	pɐ́.ɾiː.mɐn
पलाव	pɐ.lɑ́ː.ʋɐ
पश्य्	pɐɕj
पाताल	pɑː.tɑː.lɐ
पादशोथ	pɑː.dɐ.ɕɐw.tʰɐ
पार्थिव	pɑ́ːɾ.tʰi.ʋɐ
पाषण्ड	pɑ́ː.ʂɐɳ.ɖɐ
पितु	pi.tú
पिपासा	pi.pɑː.sɑ́ː
पीडा	piː.ɖɑː
पुंस्	púɴs
पुरंदर	pu.ɾɐn.dɐ.ɾɐ́
पुर्	púɾ
पुष्यति	púʂ.jɐ.ti
पूर्ण	puːɾ.ɳɐ́
पृष्टि	pr̩ʂ.ʈí
प्रक्षालन	pɾɐk.ʂɑː.lɐ.nɐ
प्रति	pɾɐ́.ti
प्राणिन्	pɾɑː.ɳin
प्रावृष्	pɾɑː.ʋŕ̩ʂ
प्रीत	pɾiː.tɐ́
प्रेष्	pɾɐ́jʂ
प्साति	psɑ́ː.ti
फलन	pʰɐ.lɐ.nɐ
बटु	bɐ.ʈu
बन्धु	bɐ́n.dʱu
बर्बर	bɐɾ.bɐ.ɾɐ
बहिष्	bɐ.ɦiʂ
