-άκις	ˈa.kis
Νέμεσις	ˈnɛ.mɛ.sis
Νέπως	ˈnɛ.pos
Νίκαρχος	ˈni.kar.kʰos
Ναύκρατις	ˈnaʍ.kra.tis
Νηλεύς	neˈleʍs
Νικόλαος	niˈko.la.os
Νομαντῖνος	no.manˈti.nos
Νουμέριος	nuˈmɛ.ri.os
Νῖσος	ˈni.sos
Ξόϊς	ˈkso.is
Οἰδίπους	yˈdi.pus
Οἰκλείδης	yˈkli.des
Οἰνιάδαι	y.niˈa.dɛ
Οἴαγρος	ˈy.a.ɡros
Οὐίνδιξ	uˈin.diks
Οὔαρος	ˈu.a.ros
Πάκορος	ˈpa.ko.ros
Πάνημος	ˈpa.ne.mos
Πάνορμος	ˈpa.nor.mos
Πάρμυς	ˈpar.mys
Πέλλα	ˈpɛl.la
Πέργη	ˈpɛr.ɡe
Πήληκες	ˈpe.le.kɛs
Πίερες	ˈpi.ɛ.rɛs
Παδαῖοι	paˈdɛ.y
Παλαιστίνη	pa.lɛsˈti.ne
Παλείς	paˈlis
Παλλήνη	palˈle.ne
Παναθηναϊκός	pa.na.tʰe.na.iˈkos
Παρασκευή	pa.ras.keˈwe
Παρθία	parˈtʰi.a
Πασικλῆς	pa.siˈkles
Παφλαγονία	pa.pʰla.ɡoˈni.a
Παχών	paˈkʰon
Πειρίθους	piˈri.tʰus
Πειραεύς	pi.raˈeʍs
Πελασγικός	pɛ.laz.ɡiˈkos
Πελοποννήσιος	pɛ.lo.ponˈne.si.os
Περικλύμενος	pɛ.riˈkly.mɛ.nos
Περτίναξ	pɛrˈti.naks
Πικηνός	pi.keˈnos
Πιτάνη	piˈta.ne
Πνεῦμα τὸ Ἅγιον	ˈpnew.ma to ˈ(h)a.ɡi.on
Πολυξώ	po.lykˈso
Πολύδωρος	poˈly.do.ros
Πορφυρίων	por.pʰyˈri.on
Ποτείδαια	poˈti.dɛ.a
Πρηξάσπης	prekˈsas.pes
Προκόννησος	proˈkon.ne.sos
Προῖτος	ˈpry.tos
Πυθαγορικός	py.tʰa.ɡo.riˈkos
Πόντος	ˈpon.tos
Πύλος	ˈpy.los
Σάρδεις	ˈsar.dis
Σήρ	ser
Σαιπρός	sɛˈpros
Σαλγανεύς	sal.ɡaˈneʍs
Σαλώνιος	saˈlo.ni.os
Σαμόσατα	saˈmo.sa.ta
Σαράγγαι	saˈraŋ.ɡɛ
Σατάν	saˈtan
Σελευκίδης	sɛ.leʍˈki.des
Σελινοῦς	sɛ.liˈnus
Σηκουανός	se.ku.aˈnos
Σθενώ	stʰɛˈno
Σιντός	sinˈtos
Σιρακηνοί	si.ra.keˈny
Σκίδρος	ˈski.dros
Σκυλάκη	skyˈla.ke
Σμίλα	ˈzmi.la
Σμύρνα	ˈzmyr.na
Σολοῦς	soˈlus
Σοῦδα	ˈsu.da
Στρομβιχίδης	strom.biˈkʰi.des
Στυλλάγγιον	stylˈlaŋ.ɡi.on
Στύξ	styks
Συράκουσαι	syˈra.ku.sɛ
Σωσιγένης	so.siˈɡɛ.nes
Σώζουσα	ˈso.zu.sa
Σῆστος	ˈses.tos
Σῖναι	ˈsi.nɛ
Σῦρος	ˈsy.ros
Τάναγρα	ˈta.na.ɡra
Τάρταρος	ˈtar.ta.ros
Τέμπη	ˈtɛm.pe
Τήλεφος	ˈte.lɛ.pʰos
Τίρων	ˈti.ron
Ταλθύβιος	talˈtʰy.bi.os
Ταρκύνιος	tarˈky.ni.os
Τελαμών	tɛ.laˈmon
Τελμησσός	tɛl.mesˈsos
Τερψιχόρα	tɛrp.siˈkʰo.ra
Τηρείη	teˈri.e
